Name,Class,Rating,Total Rater,Facility,Price,Area
RedDoorz Plus @ Diponegoro,2-star hotel,4.4,(51),"['Free Wi-Fi', 'Full-service laundry', 'Child-friendly']",0,Surabaya
ZEN Hostel Gubeng Station,2-star hotel,4,(9),"['Air conditioning', 'Airport shuttle']",0,Surabaya
RedDoorz Ramayana Indah Hotel,2-star hotel,3.9,(98),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0,Surabaya
ZEN Rooms Sultan Iskandar Muda,2-star hotel,4.6,(5),"['Pet-friendly', 'Child-friendly']",0,Surabaya
Capsule Homestay,2-star hotel,3.9,(631),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Kitchen in rooms']","IDR 104,545",Surabaya
OYO 469 Bumi Banyu Bening Syariah,2-star hotel,4.3,(201),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 150,339",Surabaya
Zen Rooms near Grand City Mall,2-star hotel,2.3,(3),['Child-friendly'],0,Surabaya
Family Guest House Surabaya,2-star hotel,4.1,(146),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Surabaya
Omah Pitu,2-star hotel,4.8,(85),['Child-friendly'],0,Surabaya
H.O.S Homestay,-,5,(2),[],0,Surabaya
RedDoorz Plus near Ciputra World,2-star hotel,3.7,(84),"['Free Wi-Fi', 'Full-service laundry', 'Child-friendly']",0,Surabaya
Umada Beds & Lounge Syariah,2-star hotel,4.4,(15),"['Air conditioning', 'Child-friendly']",0,Surabaya
Airy Rungkut Madya M1 Surabaya,2-star hotel,4.2,(27),"['Free Wi-Fi', 'Child-friendly']",0,Surabaya
RedDoorz near Balaikota surabaya,2-star hotel,4.2,(125),"['Free Wi-Fi', 'Child-friendly']",0,Surabaya
OYO 134 Lg Residence,2-star hotel,4,(140),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 121,500",Surabaya
Hotel Shabine,2-star hotel,3.1,(53),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",0,Surabaya
Velozip Homestay,2-star hotel,4.1,(49),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",0,Surabaya
RedDoorz near Petra University,2-star hotel,4,(89),"['Free Wi-Fi', 'Free parking', 'Child-friendly']",0,Surabaya
Capsule Homestay,2-star hotel,3.9,(631),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Kitchen in rooms']","IDR 104,545",Surabaya
OYO 469 Bumi Banyu Bening Syariah,2-star hotel,4.3,(201),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 150,339",Surabaya
Henny Executive Homestay,2-star hotel,4.1,(124),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",0,Surabaya
OYO 388 Raka Residence Syariah,2-star hotel,4.7,(46),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",0,Surabaya
RedDoorz @ Banyu Urip,-,4.1,(28),[],0,Surabaya
