No,Nama,Class,Rating,Rater,Facility,Price
73,Amaris Hotel La Codefin Kemang,3-star hotel,4.2,"(1,949)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 298,535"
74,Amaris Hotel La Codefin Kemang,3-star hotel,4.2,"(1,949)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 298,757"
75,Blue Sky Hotel Petamburan,3-star hotel,4.2,"(1,869)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 409,372"
76,An Hotel Jakarta,2-star hotel,3.8,(711),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 245,743"
77,Hotel Mulia Senayan Jakarta,5-star hotel,4.7,"(18,395)","['Free breakfast', 'Wi-Fi', 'Parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,622,675"
78,Whiz Hotel Cikini Jakarta,2-star hotel,4.1,"(2,892)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 334,396"
79,DiscoveryAncol,4-star hotel,4.3,"(3,727)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 612,367"
80,DoubleTree by Hilton Hotel Jakarta - Diponegoro,5-star hotel,4.6,"(9,800)","['Breakfast ($)', 'Wi-Fi ($)', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,622,837"
81,YELLO Hotel Harmoni Jakarta,3-star hotel,4.5,"(5,491)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant', 'Room service']","IDR 437,354"
82,Park Hotel Jakarta,3-star hotel,4.3,"(3,797)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']",DEAL
83,Juno Tanah Abang Jakarta,3-star hotel,4.4,"(2,544)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 392,143"
84,THE 1O1 Jakarta Sedayu Darmawangsa,4-star hotel,4.5,"(2,630)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 558,612"
85,Cosmo Amaroossa Jakarta,4-star hotel,4.3,"(3,186)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 396,899"
86,Verse Luxe Hotel Wahid Hasyim,3-star hotel,4.2,"(2,101)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 409,159"
87,Grand Hyatt Jakarta,5-star hotel,4.7,"(6,730)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 3,603,494"
88,HARRIS Vertu Hotel Harmoni - Jakarta,4-star hotel,4.6,"(7,411)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 736,968"
89,1O1 URBAN Jakarta Kelapa Gading (The BnB),3-star hotel,4.3,"(3,264)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 300,016"
90,Swiss-Belresidences Rasuna Epicentrum,4-star hotel,4.5,(906),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 576,300"
91,Ana Hotel,3-star hotel,4.3,"(1,142)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 408,062"
92,Clay Hotel,2-star hotel,4.0,"(1,547)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 244,947"
93,Amaris Hotel Tendean Jakarta,2-star hotel,4.1,"(1,760)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 331,762"
94,Gran Meliá Jakarta,5-star hotel,4.6,"(7,505)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,935,426"
95,"La Boheme, Rooms and Coffee",3-star hotel,4.5,(863),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 425,961"
96,"Holiday Inn Express Jakarta Matraman, an IHG Hotel",3-star hotel,4.6,"(1,576)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Accessible', 'Child-friendly']","IDR 513,368"
97,Ayana Midplaza Jakarta,5-star hotel,4.7,"(8,540)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,099,374"
98,HARRIS Hotel & Conventions Kelapa Gading,4-star hotel,4.6,"(3,932)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 703,741"
99,Jambuluwuk Thamrin Hotel,3-star hotel,4.5,(567),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 551,637"
100,Le Meridien Jakarta,5-star hotel,4.6,"(10,357)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,104,334"
101,POP! Hotel Pasar Baru Jakarta,3-star hotel,4.4,"(2,171)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 303,803"
102,Lumire Hotel & Convention Center,4-star hotel,4.4,"(6,094)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 766,972"
103,"The Ritz-Carlton Jakarta, Mega Kuningan",5-star hotel,4.7,"(10,070)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,483,553"
104,Oria Hotel,3-star hotel,4.3,"(2,024)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 456,553"
105,Hotel Raffles Jakarta,5-star hotel,4.8,"(8,012)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,797,865"
106,Hotel Monopoli,3-star hotel,4.3,"(1,476)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 504,242"
107,LUMINOR HOTEL KOTA,3-star hotel,4.5,"(1,775)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 525,000"
108,Grand Tropic Suites Hotel Jakarta,4-star hotel,4.2,"(3,583)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Spa', 'Kitchen in some rooms']","IDR 461,631"
109,Cabin Hotel,3-star hotel,4.3,"(1,993)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 350,516"
110,Horison Falatehan Jakarta,3-star hotel,4.1,"(1,807)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 270,373"
111,Swiss-Belresidences Kalibata,4-star hotel,4.7,"(11,067)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 562,926"
112,Whiz Hotel Falatehan Jakarta,2-star hotel,4.1,(676),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 437,471"
113,ibis budget Jakarta Cikini,2-star hotel,4.2,"(3,552)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 357,391"
114,Hotel Bidakara Jakarta,4-star hotel,4.5,"(6,787)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 509,670"
115,Liberty Hotel Thamrin Jakarta,3-star hotel,4.4,(851),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 408,795"
116,POP! Hotel Kemang - Jakarta,2-star hotel,4.2,"(1,963)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 265,005"
117,Grand Orchardz Kemayoran,4-star hotel,4.6,"(2,394)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 593,829"
118,Oasis Amir Hotel,4-star hotel,4.1,"(3,870)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Spa', 'Restaurant']","IDR 437,471"
119,Ashley Wahid Hasyim Jakarta,4-star hotel,4.5,"(4,664)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant', 'Airport shuttle']","IDR 678,618"
120,"Holiday Inn Express Jakarta Wahid Hasyim, an IHG Hotel",3-star hotel,4.4,"(2,570)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant', 'Room service']","IDR 542,554"
