,0,1,2,3,4
120,MaxOneHotels.com @ Kramat,4.3,"(1,980)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 243,047"
121,Orchardz Hotel Bandara,4.4,"(3,899)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 466,765"
122,Hotel Horison Ciledug,4.6,"(3,655)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 535,102"
123,MaxOneHotels.com @ Platinum Hayam Wuruk,4.4,"(1,216)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 341,501"
124,Nite & Day Hotel Jakarta Roxy,4.2,(588),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 194,469"
125,Hotel Santika Kelapa Gading,4.4,"(3,811)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 471,524"
126,All Nite & Day Residence - Kebon Jeruk,4.5,(482),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 373,875"
127,Rasuna Mansion,4.5,(205),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Fitness centre', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 469,761"
128,Blue Sky Pandurata Boutique Hotel,4.3,"(1,327)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 551,110"
129,d'Arcici Hotel Cempaka Putih,4.1,(925),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 332,120"
130,P Hotel,4.2,(496),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 256,410"
131,Hotel Balairung Jakarta,4.3,"(2,582)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 336,424"
132,d'primahotel Airport Jakarta 2,4.5,"(1,279)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 357,994"
133,HAPPY INN - MELAWAI,4.4,(523),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service']","IDR 339,623"
134,Kutaraja Hotel,4.2,(421),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 278,609"
135,MaxOneHotels.com @ Pemuda,4.2,"(2,668)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 373,796"
