Name,Class,Rating,Total Rater,Facility,Price,Area
Hotel Nyland Cipaganti,2-star hotel,4.2,(352),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 299,880",Bandung
UTC Hotel Bandung,2-star hotel,4.4,(646),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 436,069",Bandung
Elenor's Home,2-star hotel,4.4,(359),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Child-friendly']","IDR 94,679",Bandung
Hotel Setrasari Bandung,2-star hotel,4.2,(375),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 293,520",Bandung
Hi Quality Guest House,2-star hotel,4.2,(295),"['Air conditioning', 'Child-friendly']","IDR 179,992",Bandung
Orange Home Syariah,2-star hotel,4.2,(546),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Kitchen in some rooms', 'Full-service laundry', 'Child-friendly']","IDR 139,724",Bandung
Hotel Yehezkiel Surapati RedPartner,2-star hotel,4.1,"(1,214)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Child-friendly', 'Smoke-free property']","IDR 319,394",Bandung
Pavilion Rumah Teras,2-star hotel,4.5,(270),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Child-friendly']","IDR 377,309",Bandung
Wisma Asia Busindo Bandung,2-star hotel,4.1,(322),"['Free Wi-Fi', 'Free parking', 'Child-friendly']","IDR 106,401",Bandung
Hyper Inn,2-star hotel,3.9,(547),"['Free Wi-Fi', 'Parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 316,790",Bandung
New Moonlight Hotel Bandung,2-star hotel,4.2,(788),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 224,821",Bandung
Villa Balong Bho,2-star hotel,4,(478),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 105,887",Bandung
Aristo Residence,2-star hotel,4.6,(128),"['Free Wi-Fi', 'Parking', 'Child-friendly']","IDR 276,165",Bandung
Latief Inn,2-star hotel,4.3,(423),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 318,429",Bandung
Rossan Villa Hotel near Sersan Bajuri RedPartner,2-star hotel,4.3,(30),['Free Wi-Fi'],"IDR 170,000",Bandung
Veleza Hotel,2-star hotel,4.3,(491),"['Free Wi-Fi', 'Free parking', 'Full-service laundry', 'Child-friendly']","IDR 299,999",Bandung
Verona Residence (now closed ),2-star hotel,4.1,(163),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 77,762",Bandung
La Nostalgie Boutique Hotel Bandung,2-star hotel,4.3,(302),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 472,413",Bandung
Intech Hostel,2-star hotel,4.2,(495),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 195,863",Bandung
Mine Home Hotel by sovia,2-star hotel,4.3,(419),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Child-friendly']","IDR 393,361",Bandung
Bantal Guling Guesthouse Trans,2-star hotel,3.7,(886),"['Free breakfast', 'Free Wi-Fi', 'Full-service laundry']","IDR 119,562",Bandung
Kristalia Hotel,2-star hotel,3.6,(230),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly', 'Smoke-free property']","IDR 444,444",Bandung
Capital O 1616 Setiabudhi Indah Hotel,2-star hotel,4.3,(423),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Bandung
New-B Hotel,2-star hotel,3.4,(379),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 235,818",Bandung
Cihampelas 1 Hotel,2-star hotel,3.8,(517),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 434,280",Bandung
De Orange Residence Guest House,2-star hotel,3.8,(67),"['Free Wi-Fi', 'Parking', 'Child-friendly']","IDR 228,747",Bandung
OYO 90042 Emerald Towers,2-star hotel,3.6,(28),"['Free Wi-Fi', 'Pool', 'Room service', 'Full-service laundry']","IDR 114,060",Bandung
