Name,Class,Rating,Total Rater,Facility,Price,Area
Hotel Dragon Inn,2-star hotel,4.1,(861),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 357,000",Jakarta
RedDoorz Plus @ Guntur Raya Setiabudi,2-star hotel,4.2,(550),"['Free Wi-Fi', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 276,137",Jakarta
C'One Hotel Pulomas,2-star hotel,4.2,(502),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service']","IDR 238,908",Jakarta
OYO 1421 Kasmaran Guest House Syariah,2-star hotel,4.2,(230),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Airport shuttle']","IDR 187,738",Jakarta
OYO 137 Permata Tawakal,2-star hotel,4,(332),"['Free Wi-Fi', 'Child-friendly']","IDR 103,592",Jakarta
Amaris Hotel Bandara Soekarno Hatta,2-star hotel,3.9,"(2,478)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 382,750",Jakarta
RedDoorz near ITC Cempaka Mas,2-star hotel,3.2,(521),['Free Wi-Fi'],"IDR 122,611",Jakarta
RedDoorz Plus @ Guntur Raya Setiabudi,2-star hotel,4.2,(550),"['Free Wi-Fi', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 276,137",Jakarta
OYO 146 Menteng Residence,2-star hotel,3.4,(184),"['Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 96,622",Jakarta
OYO 137 Permata Tawakal,2-star hotel,4,(332),"['Free Wi-Fi', 'Child-friendly']","IDR 103,592",Jakarta
OYO 123 Puri Lotus,2-star hotel,3.8,(317),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 179,486",Jakarta
Golden Mansion,2-star hotel,4.1,(215),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 390,469",Jakarta
LeGreen Suite Tebet,2-star hotel,4.1,(480),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']","IDR 330,137",Jakarta
Collection O 91071 Hotel Desa Wisata Tmii,2-star hotel,4.2,(927),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 565,229",Jakarta
RedDoorz @ Jalan Gatot Subroto Jakarta,2-star hotel,4.4,(162),['Free Wi-Fi'],"IDR 223,447",Jakarta
OYO 3755 Sweet Home,2-star hotel,3.4,(58),"['Free Wi-Fi', 'Air conditioning']","IDR 62,712",Jakarta
OYO 2416 Griya Otista Syariah,2-star hotel,3.8,(160),"['Wi-Fi', 'Air conditioning']","IDR 91,444",Jakarta
Hotel Mega Proklamasi,2-star hotel,4,"(1,050)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Jakarta
OYO 2223 J&b Room Utan Kayu,2-star hotel,3.6,(213),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 111,588",Jakarta
RedDoorz near Gajah Mada Plaza 2,2-star hotel,3.7,(185),['Free Wi-Fi'],"IDR 89,818",Jakarta
RedDoorz near Halim Perdanakusuma 3,2-star hotel,4.1,(159),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 206,625",Jakarta
OYO 127 W Residence,2-star hotel,4,(572),"['Free Wi-Fi', 'Air conditioning']","IDR 120,668",Jakarta
Menteng 1 Hotel Jakarta,2-star hotel,3.7,(502),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Jakarta
