Name,Class,Rating,Total Rater,Facility,Price,Area
Limasan514 by Zulkia Management,2-star hotel,4.4,(77),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
OYO 939 Rumah Teteh Syariah Kledokan,2-star hotel,4.8,(54),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",0,Jogjakarta
Arjuna Homestay & Garden Resto,2-star hotel,4.4,(166),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Full-service laundry', 'Child-friendly']","IDR 300,000",Jogjakarta
Ngampilan Backpacker Hostel,2-star hotel,4.6,(150),"['Free Wi-Fi', 'Parking ($)', 'Air conditioning', 'Breakfast', 'Room service', 'Child-friendly']","IDR 171,000",Jogjakarta
Pawon Cokelat,2-star hotel,4.3,(420),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0,Jogjakarta
nDalem Sardan Guesthouse,2-star hotel,4.8,(64),"['Free Wi-Fi', 'Free parking']",0,Jogjakarta
OYO 398 Hotel Family Syariah 2,2-star hotel,4.3,(394),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 162,607",Jogjakarta
RedDoorz @ Sagan Jogja 2,2-star hotel,4,(206),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 84,346",Jogjakarta
Ndalem Sarengat,2-star hotel,4.7,(128),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
Oriana Homestay,2-star hotel,4.3,(29),"['Free Wi-Fi', 'Free parking', 'Child-friendly']","IDR 123,921",Jogjakarta
RedDoorz near Lippo Mall Yogyakarta,2-star hotel,4.2,(34),"['Free Wi-Fi', 'Air conditioning', 'Room service']","IDR 194,787",Jogjakarta
Sakura Hotel,2-star hotel,4.2,(162),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']",0,Jogjakarta
Griya Yunika,2-star hotel,4.4,(203),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
Hotel Sumaryo,2-star hotel,4.4,(241),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Breakfast', 'Room service', 'Child-friendly']",0,Jogjakarta
Hotel Perwita Sari,2-star hotel,4.1,(388),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
New Hotel Lilik,2-star hotel,3.7,(630),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 353,544",Jogjakarta
Hotel Indrakila,2-star hotel,4.2,(456),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
Panca Dewi Guest House,2-star hotel,4.3,(28),"['Free Wi-Fi', 'Child-friendly']","IDR 237,500",Jogjakarta
Monica Hotel Yogyakarta,2-star hotel,4.1,(319),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0,Jogjakarta
Ndalem Mantrijeron Hotel,2-star hotel,4.4,(321),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",0,Jogjakarta
Ndalem Diajeng Homestay,2-star hotel,4.5,(259),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 112,792",Jogjakarta
Airy Mergangsan Taman Siswa 91 Yogyakarta,2-star hotel,4.3,(63),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly', 'Smoke-free property']",0,Jogjakarta
Al Maidah Hotel,2-star hotel,4.2,(128),"['Free Wi-Fi', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
RedDoorz near Station Tugu Jogja,2-star hotel,4,(40),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",0,Jogjakarta
ZEN Rooms Pogung Syariah,2-star hotel,4.5,(12),"['Pet-friendly', 'Child-friendly']",0,Jogjakarta
Tiga Dua Homestay,2-star hotel,4.6,(135),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 86,659",Jogjakarta
Penginapan Prima Syariah,2-star hotel,4.3,(148),"['Breakfast ($)', 'Free Wi-Fi', 'Parking']","IDR 94,999",Jogjakarta
Hotel Merapi,2-star hotel,4.1,(67),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0,Jogjakarta
Rami Homestay,2-star hotel,4.3,(53),"['Free Wi-Fi', 'Full-service laundry', 'Child-friendly']","IDR 249,881",Jogjakarta
Hotel Suryaputri,2-star hotel,4.3,(477),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",0,Jogjakarta
Ndalem Suryo Saptono Guest House,2-star hotel,4.6,(158),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
Barbados Homestay,2-star hotel,4.5,(32),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0,Jogjakarta
ZEN Rooms Pakualaman,2-star hotel,3.3,(3),['Child-friendly'],0,Jogjakarta
Pusaka Hotel,2-star hotel,3.9,(153),"['Free Wi-Fi', 'Child-friendly']",0,Jogjakarta
WIDITYA INN HOTEL,2-star hotel,4.4,(109),"['Breakfast', 'Air conditioning', 'Airport shuttle', 'Child-friendly']",0,Jogjakarta
HOTEL SENO,2-star hotel,4.1,(216),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Room service', 'Child-friendly']",0,Jogjakarta
Airy Carturtunggal Laksda Adisucipto 6 Yogyakarta,2-star hotel,4.3,(4),['Child-friendly'],0,Jogjakarta
Hotel Supra Jaya,2-star hotel,4,(80),"['Free parking', 'Air conditioning', 'Wi-Fi', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
Hotel Kayu Manis,2-star hotel,3.9,(138),"['Free Wi-Fi', 'Child-friendly']",0,Jogjakarta
POP! Hotel Timoho - Yogyakarta,3-star hotel,4.3,"(3,087)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 285,488",Jogjakarta
De Hostel,3-star hotel,4.5,(123),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Airport shuttle', 'Child-friendly']","IDR 264,967",Jogjakarta
Duta Guest House,3-star hotel,4.3,(400),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 317,793",Jogjakarta
Grand Malioboro Yogyakarta,3-star hotel,4.3,"(1,970)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 1,098,625",Jogjakarta
The Victoria Hotel Yogyakarta,3-star hotel,4.4,"(2,948)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 422,681",Jogjakarta
Prime Cailendra Hotel RedPartner near Malioboro Yogyakarta,3-star hotel,4.4,(177),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Breakfast', 'Room service', 'Child-friendly', 'Smoke-free property']","IDR 316,071",Jogjakarta
The Cube Hotel Prawirotaman,3-star hotel,4.2,"(2,439)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 404,730",Jogjakarta
Yellow Star Hotel - Ambarrukmo,3-star hotel,4.3,"(2,893)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 476,946",Jogjakarta
All Nite & Day Hotel Gejayan Yogyakarta,3-star hotel,4.1,"(3,157)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Kitchen in rooms']","IDR 325,584",Jogjakarta
Tjokro Style Yogyakarta,3-star hotel,4.4,"(3,754)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Spa', 'Bar']","IDR 313,288",Jogjakarta
Hotel Citradream Yogyakarta,3-star hotel,4.3,"(2,766)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 283,331",Jogjakarta
Indies HERITAGE Hotel,3-star hotel,4.3,"(2,137)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 446,963",Jogjakarta
POP! Hotel Timoho - Yogyakarta,3-star hotel,4.3,"(3,087)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 274,859",Jogjakarta
Eclipse Hotel,3-star hotel,4.3,(309),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Pet-friendly', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 277,380",Jogjakarta
